網站,地區,標題,租金,坪數,樓層,格局,地址,電梯,車位,連結
信義,北投區,掬水軒小資宅,24000,14.52,4/13,1房2廳1衛,北投區泉源路,,,https://www.sinyi.com.tw/rent/houseno/C353778
信義,北投區,H24雲端高樓層,25000,15.42,16/19,,北投區中央南路二段,,,https://www.sinyi.com.tw/rent/houseno/C362722
信義,北投區,新月台北投站電梯兩房附車位,27000,10.00,6/7,2房2廳1衛,北投區中正街,有,,https://www.sinyi.com.tw/rent/houseno/C328370
信義,北投區,中和街大空間店面,28000,21.52,1/2,1房1廳2衛,北投區中和街,,,https://www.sinyi.com.tw/rent/houseno/C345269
信義,北投區,明德捷運溫馨小家,30000,12.85,7/7,1房1廳1衛,北投區西安街一段,,,https://www.sinyi.com.tw/rent/houseno/C358220
信義,北投區,新月台北投站電梯兩房,30000,10.00,6/7,2房2廳1衛,北投區中正街,有,,https://www.sinyi.com.tw/rent/houseno/C328371
信義,北投區,北投美三房即可入住,30000,27.60,4/5,3房2廳2衛,北投區大度路三段,,,https://www.sinyi.com.tw/rent/houseno/C354896
永慶,北投區,極上溫泉小品,18000,11.40,3/14,1房1廳1衛,北投區光明路,有,,https://rent.yungching.com.tw/house/2398396
永慶,北投區,泉之鄉電梯2房,22000,25.75,4/7,2房1廳1衛,北投區溫泉路,有,,https://rent.yungching.com.tw/house/2403412
永慶,北投區,豐年公寓5樓,25000,28.86,5/5,3房2廳1衛,北投區中央北路二段,,,https://rent.yungching.com.tw/house/2405663
永慶,北投區,十泉高樓美妝套房,25000,27.77,11/19,1房1廳1衛,北投區光明路,有,有,https://rent.yungching.com.tw/house/2403834
永慶,北投區,整理中暫不帶看,25000,32.25,4/5,3房2廳2衛,北投區稻香路,,,https://rent.yungching.com.tw/house/2398534
永慶,北投區,北投捷運2樓公寓,26000,23.85,2/5,2房2廳1衛,北投區育仁路,,,https://rent.yungching.com.tw/house/2397627
永慶,北投區,關渡捷運精裝美宅,28000,37.22,4/4,4房1廳2衛,北投區大度路三段,,,https://rent.yungching.com.tw/house/2383920
永慶,北投區,珠海便利溫馨好宅,28000,23.45,2/4,2房2廳1衛,北投區珠海路,,,https://rent.yungching.com.tw/house/2393371
永慶,北投區,近捷運站可住可辦,28000,21.05,2/2,1房1廳1衛,北投區中央南路一段,,,https://rent.yungching.com.tw/house/2366681
永慶,北投區,靜巷公寓可租補,30000,24.56,4/4,3房2廳1衛,北投區中和街,,,https://rent.yungching.com.tw/house/2395077
永慶,北投區,石牌榮華富貴三房,30000,24.94,3/4,3房2廳1衛,北投區榮華三路,,,https://rent.yungching.com.tw/house/2384499
591,淡水區,東昇社宅機能便利四房可寵可租補,18000,25,4F/14F,,淡水區-水源街二段177巷88號,有,,https://rent.591.com.tw/21574410
591,淡水區,環境優雅住戶單純,18000,28,2F/14F,,淡水區-興福寮88巷220號,有,,https://rent.591.com.tw/21527662
591,淡水區,捷運紅樹林站山林海到站即到,18500,14.8,3F/15F,,淡水區-中正東路二段71號,有,,https://rent.591.com.tw/21479498
591,淡水區,淡大學人居4房適合有小孩的家庭,20000,35.3,3F/7F,4房2廳,淡水區-大忠街,有,,https://rent.591.com.tw/21593445
591,淡水區,東昇社宅4房大空間可租補免仲,20000,36,14F/14F,,淡水區-北新路119巷,,,https://rent.591.com.tw/21574407
591,淡水區,竹圍捷運對街公寓一樓,20000,13,1F/1F,,淡水區-民權路145巷18弄,,,https://rent.591.com.tw/21489330
591,淡水區,可養貓咪的巧克力樓中樓4房,21000,23.9,3F/14F,,淡水區-水源街一段177巷,有,,https://rent.591.com.tw/21569279
591,淡水區,藍海名廈正德國中旁4房,22000,30.1,3F/19F,,淡水區-北新路69巷,,,https://rent.591.com.tw/21553731
591,淡水區,正德國中旁藍海名廈3+1房,22000,30.1,3F/19F,,淡水區-北新路69巷,有,,https://rent.591.com.tw/21447529
591,淡水區,無敵美景挑高採光生活機能,23000,50.8,13F/13F,,淡水區-水源街二段177巷,有,,https://rent.591.com.tw/21557033
591,淡水區,淡水一信幼稚園學區公寓,23000,35.2,2F/5F,,淡水區-中正路一段55號,,,https://rent.591.com.tw/21550648
591,淡水區,橋頭好厝大四房2樓免爬高,23000,33.2,2F/5F,,淡水區-中正路一段,,,https://rent.591.com.tw/21447557
591,淡水區,觀海極品全聯永豐銀行2空間,24500,23,12F/23F,,淡水區-民族路29巷,有,,https://rent.591.com.tw/21533485
591,淡水區,南加州正排海景二房竹圍捷運景觀宅,25000,19.2,9F/24F,,淡水區-民權路,有,,https://rent.591.com.tw/21594432
591,淡水區,竹圍南加州面觀音山海景2空間,25000,19.2,9F/24F,,淡水區-民權路,有,,https://rent.591.com.tw/21545971
591,淡水區,淡水捷運站美景商辦,25000,20.7,3F/5F,,淡水區-鼻頭街,,,https://rent.591.com.tw/21538078
591,淡水區,竹圍捷運站民權路稀有釋出,25000,24.7,2F/2F,,淡水區-民權路,,,https://rent.591.com.tw/21459476
591,淡水區,淡水捷運美景首席商辦,25000,20.7,3F/5F,,淡水區-鼻頭街,,,https://rent.591.com.tw/21444848
591,淡水區,社會住宅免服務費近淡江大學4房大忠街電梯宅,26000,59.4,7F/7F,4房2廳,淡水區-大忠街,有,,https://rent.591.com.tw/21584901
591,淡水區,飛鳳山莊生活機能樓中樓,27000,57.5,1F/6F,,淡水區-北新路184巷,有,,https://rent.591.com.tw/21487166
591,淡水區,水源街黃金三角窗店面1-2樓大坪數,28000,54.4,1F~2F/5F,,淡水區-水源街一段,,,https://rent.591.com.tw/21588826
591,淡水區,淡江大橋旁4房大空間海景來來含車含管,28000,67.6,8F/15F,4房2廳,淡水區-沙崙路152巷17弄,有,,https://rent.591.com.tw/21579736
591,淡水區,北新路電梯大坪數4房可租補合租,28000,40,6F/7F,,淡水區-北新路,有,,https://rent.591.com.tw/21576130
591,淡水區,北新路學區旁電梯大坪數4房可租補,28000,40.9,6F/7F,,淡水區-北新路,有,,https://rent.591.com.tw/21541312
591,淡水區,台北灣四季之旅3+1房,28500,47.9,13F/20F,,淡水區-新市一路一段158號,有,,https://rent.591.com.tw/21467381
591,淡水區,宜昌推薦江南大宅三房平車,29000,22.5,7F/23F,,淡水區-沙崙路一段,有,,https://rent.591.com.tw/21567303
591,淡水區,可租補可入籍稀有電梯四房雙衛浴,30000,49.4,13F/14F,,淡水區-北新路119巷6號,有,,https://rent.591.com.tw/21578774
591,淡水區,北新路超大坪數電梯美寓可租補,30000,70,7F/7F,,淡水區-北新路,有,,https://rent.591.com.tw/21575595
信義,淡水區,家和黃金城2樓美寓,15500,27.31,2/5,3房2廳1衛,淡水區淡金路四段,,,https://www.sinyi.com.tw/rent/houseno/C361561
信義,淡水區,長頸鹿大空間,18000,24.26,3/12,3房3廳1衛,淡水區新春街,,,https://www.sinyi.com.tw/rent/houseno/C345534
信義,淡水區,陽光海宴三房,18000,39.49,12/12,3房2廳2衛,淡水區沙崙路,,,https://www.sinyi.com.tw/rent/houseno/C342374
信義,淡水區,山林海河岸捷運璀璨虹橋,19500,15.47,14/15,1房1廳1衛,淡水區中正東路二段,,,https://www.sinyi.com.tw/rent/houseno/C357427
信義,淡水區,竹圍民生路明亮兩房公寓,20000,21.10,4/4,2房1廳1衛,淡水區民生路,,,https://www.sinyi.com.tw/rent/houseno/C361562
信義,淡水區,海洋都心高樓兩房車位,20000,35.18,23/26,,淡水區新市五路三段,,,https://www.sinyi.com.tw/rent/houseno/C348937
信義,淡水區,福臨華廈三房可租補戶籍,20000,26.74,4/7,3房2廳1衛,淡水區新民街,,,https://www.sinyi.com.tw/rent/houseno/C355161
信義,淡水區,麗景溫馨兩房,20000,21.02,6/14,2房1廳1衛,淡水區中正東路一段,,,https://www.sinyi.com.tw/rent/houseno/C352929
信義,淡水區,台北灣銀河2房帶車位,21000,29.43,6/14,2房2廳1衛,淡水區新市一路一段,,,https://www.sinyi.com.tw/rent/houseno/C341876
信義,淡水區,江南大宅中庭兩房車位,21000,36.91,12/23,2房2廳1衛,淡水區沙崙路一段,,,https://www.sinyi.com.tw/rent/houseno/C361624
信義,淡水區,江南大宅2房有車位,21000,34.09,10/23,2房1廳1衛,淡水區沙崙路一段,,,https://www.sinyi.com.tw/rent/houseno/C345636
信義,淡水區,關渡大國,21000,19.46,2/14,1房1廳1衛,淡水區民族路,,,https://www.sinyi.com.tw/rent/houseno/C358069
信義,淡水區,伊東市兩房平面車位可租補,22000,35.21,14/15,2房2廳1衛,淡水區淡金路二段,,,https://www.sinyi.com.tw/rent/houseno/C355178
信義,淡水區,中山北路電梯三房,22000,31.65,21/23,3房2廳2衛,淡水區中山北路一段,有,,https://www.sinyi.com.tw/rent/houseno/C352570
信義,淡水區,真善美兩房車位含管理費,22000,32.94,9/13,2房2廳1衛,淡水區新市一路三段,,,https://www.sinyi.com.tw/rent/houseno/C356836
信義,淡水區,新市鎮行政中心灣頂兩房,22000,23.76,3/15,2房2廳1衛,淡水區淡金路二段,,,https://www.sinyi.com.tw/rent/houseno/C358064
信義,淡水區,海都2期D棟兩房車位,22000,36.17,7/24,2房2廳1衛,淡水區新市三路二段,,,https://www.sinyi.com.tw/rent/houseno/C361442
信義,淡水區,捷運站河景美屋,22500,33.60,11/19,3房2廳1衛,淡水區中正東路二段,,,https://www.sinyi.com.tw/rent/houseno/C357422
信義,淡水區,漫活時代河景優質2房,23000,21.76,11/11,2房1廳1衛,淡水區竿蓁二街,,,https://www.sinyi.com.tw/rent/houseno/C360507
信義,淡水區,宏普2房有車位,23000,40.97,6/19,2房1廳1衛,淡水區新市二路一段,,,https://www.sinyi.com.tw/rent/houseno/C356849
信義,淡水區,麗景精裝兩房,24500,20.84,12/14,2房2廳1衛,淡水區中正東路一段,,,https://www.sinyi.com.tw/rent/houseno/C357426
信義,淡水區,一森源時尚美屋,25000,26.52,16/29,1房1廳1衛,淡水區中正路二段,,,https://www.sinyi.com.tw/rent/houseno/C355249
信義,淡水區,紅樹林捷運站河景兩房,25000,23.98,17/20,3房1廳1衛,淡水區中正東路二段,,,https://www.sinyi.com.tw/rent/houseno/C357430
信義,淡水區,海洋都心大一房,25000,36.99,4/27,1房2廳1衛,淡水區新市五路三段,,,https://www.sinyi.com.tw/rent/houseno/C361443
信義,淡水區,觀之林四房,25000,43.98,12/18,4房2廳2衛,淡水區新春街,,,https://www.sinyi.com.tw/rent/houseno/C355174
信義,淡水區,西恩那46號店鋪,25000,19.34,1/11,1房1廳1衛,淡水區坪頂路,,,https://www.sinyi.com.tw/rent/houseno/C357424
信義,淡水區,江南大宅景觀三房+車位,25000,52.49,7/23,3房2廳2衛,淡水區沙崙路一段,,,https://www.sinyi.com.tw/rent/houseno/C348936
信義,淡水區,中山路近捷運大空間,25000,34.61,4/4,,淡水區中山路,,,https://www.sinyi.com.tw/rent/houseno/C332540
信義,淡水區,中山路近捷運三樓大空間,25000,32.55,3/4,1房1廳1衛,淡水區中山路,,,https://www.sinyi.com.tw/rent/houseno/C332539
信義,淡水區,新品川溫馨我的家,25500,40.24,8/15,2房2廳1衛,淡水區沙崙路一段,,,https://www.sinyi.com.tw/rent/houseno/C349885
信義,淡水區,近藝術大學3房車位,26000,47.82,13/15,3房2廳2衛,淡水區自強路,,,https://www.sinyi.com.tw/rent/houseno/C342896
信義,淡水區,海洋都心2三房+車位,26000,46.13,8/29,3房2廳2衛,淡水區新市三路二段,,,https://www.sinyi.com.tw/rent/houseno/C349891
信義,淡水區,溫馨兩房首選,26000,43.93,8/23,2房2廳1衛,淡水區沙崙路一段,,,https://www.sinyi.com.tw/rent/houseno/C356686
信義,淡水區,淡水情歌綠景三房面溪,26500,40.79,9/20,3房2廳2衛,淡水區淡金路二段,,,https://www.sinyi.com.tw/rent/houseno/C346005
信義,淡水區,海洋都心可租補3房車位,27000,48.77,16/29,3房2廳2衛,淡水區新市三路二段,,,https://www.sinyi.com.tw/rent/houseno/C348882
信義,淡水區,江南大宅誠意出租,28000,59.34,8/23,3房2廳2衛,淡水區沙崙路一段,,,https://www.sinyi.com.tw/rent/houseno/C349992
信義,淡水區,鴻築ONE三房車位,28000,49.51,8/14,3房2廳2衛,淡水區淡金路二段,,,https://www.sinyi.com.tw/rent/houseno/C361621
信義,淡水區,蒙地卡羅日式禪風三房車位,28000,47.18,9/15,3房2廳1衛,淡水區新市一路三段,,,https://www.sinyi.com.tw/rent/houseno/C361623
信義,淡水區,麗緻花園3房平面大車位,28000,41.91,5/14,3房2廳2衛,淡水區新民街,,,https://www.sinyi.com.tw/rent/houseno/C355179
信義,淡水區,面中庭海都2安靜三房,28000,48.77,18/29,3房2廳2衛,淡水區新市三路二段,,,https://www.sinyi.com.tw/rent/houseno/C349899
信義,淡水區,柏蒂特區豪邸高樓4房車位,28000,73.69,11/12,4房2廳2衛,淡水區沙崙路,,,https://www.sinyi.com.tw/rent/houseno/C337400
信義,淡水區,心航線兩戶打通可做辦公,30000,33.61,3/13,2房2廳2衛,淡水區文化路,,,https://www.sinyi.com.tw/rent/houseno/C345061
永慶,淡水區,淡水老街公寓二樓,15000,16.46,2/3,,淡水區中正路,,,https://rent.yungching.com.tw/house/2393843
永慶,淡水區,心航線海景大套房,16000,13.21,10/13,1房1廳1衛,淡水區文化路,,,https://rent.yungching.com.tw/house/2402842
永慶,淡水區,A820大仁街三房兩廳一,16000,28.04,3/5,3房2廳1衛,淡水區大仁街,,,https://rent.yungching.com.tw/house/2390989
永慶,淡水區,A667利多多新生街美,16000,22.67,4/4,3房1廳1衛,淡水區新生街,,,https://rent.yungching.com.tw/house/2405779
永慶,淡水區,A666利多多新生街,16000,22.49,4/4,2房1廳1衛,淡水區新生街,,,https://rent.yungching.com.tw/house/2405799
永慶,淡水區,淡捷商圈學府公寓,16500,22.66,5/5,3房2廳1衛,淡水區學府路,,,https://rent.yungching.com.tw/house/2368020
永慶,淡水區,A669利多多新生街美,17000,22.67,3/4,3房1廳1衛,淡水區新生街,,,https://rent.yungching.com.tw/house/2405781
永慶,淡水區,A668利多多新生街美,17000,22.49,3/4,2房1廳1衛,淡水區新生街,,,https://rent.yungching.com.tw/house/2405786
永慶,淡水區,水世紀山景美套近捷運,17500,13.09,6/29,1房1廳1衛,淡水區民權路,有,,https://rent.yungching.com.tw/house/2403940
永慶,淡水區,A383新民街學區邊間大三房,18000,35.92,3/5,3房2廳2衛,淡水區淡水區新民街,,,https://rent.yungching.com.tw/house/2389157
永慶,淡水區,北新路優質華廈二房,18000,23.27,5/7,2房1廳1衛,淡水區淡水區北新路,,,https://rent.yungching.com.tw/house/2404872
永慶,淡水區,大空間巧克力裝潢戶三房,18000,23.86,6/15,3房2廳1衛,淡水區水源街二段,,,https://rent.yungching.com.tw/house/2397393
永慶,淡水區,淡江豪景海景3+1房,18000,43.44,22/24,3房2廳2衛,淡水區沙崙路,有,,https://rent.yungching.com.tw/house/2392871
永慶,淡水區,山林海景觀美套,18500,14.79,3/15,,淡水區中正東路二段,,,https://rent.yungching.com.tw/house/2402668
永慶,淡水區,海天綠意樹梢2房,18800,18.01,2/11,2房1廳1衛,淡水區淡水區八勢一街,有,,https://rent.yungching.com.tw/house/2401714
永慶,淡水區,樂生活綠景兩房含車位,19000,41.38,6/10,2房2廳2衛,淡水區淡水區新春街,有,有,https://rent.yungching.com.tw/house/2405078
永慶,淡水區,山林海海景一房,19000,15.47,14/15,1房1廳1衛,淡水區淡水區中正東路二段,,,https://rent.yungching.com.tw/house/2402349
永慶,淡水區,海洋都心三期玲瓏設計,19000,27.56,21/29,1房1廳1衛,淡水區淡水區新市五路三段,有,有,https://rent.yungching.com.tw/house/2404350
永慶,淡水區,A347竹圍水,19500,13.27,7/29,,淡水區民權路,,,https://rent.yungching.com.tw/house/2403375
永慶,淡水區,淡水捷運站溫馨二房,20000,25.08,3/5,3房2廳2衛,淡水區淡水區水源街一段,,,https://rent.yungching.com.tw/house/2399581
永慶,淡水區,A684公明街捷運景觀2房,20000,27.53,5/7,2房2廳2衛,淡水區淡水區公明街,,,https://rent.yungching.com.tw/house/2394900
永慶,淡水區,沙崙路三房大空間,20000,34.60,2/5,3房2廳2衛,淡水區淡水區沙崙路,,,https://rent.yungching.com.tw/house/2378285
永慶,淡水區,海帝大間的1房1廳,20000,22.75,2/8,1房1廳1衛,淡水區淡金路,,,https://rent.yungching.com.tw/house/2398931
永慶,淡水區,一森原河景湯屋,20000,28.40,6/29,1房1廳1衛,淡水區中正路二段,,,https://rent.yungching.com.tw/house/2404182
永慶,淡水區,中山北路一段稀有辦公,20000,24.28,3/3,2房1廳1衛,淡水區中山北路一段,,,https://rent.yungching.com.tw/house/2401056
永慶,淡水區,學府電梯華廈大三房+車,20000,29.74,3/6,3房2廳2衛,淡水區學府路,,有,https://rent.yungching.com.tw/house/2388266
永慶,淡水區,戀戀山海採光二房可租補,20500,24.26,10/20,2房2廳1衛,淡水區沙崙路,有,,https://rent.yungching.com.tw/house/2405478
永慶,淡水區,海洋都心三期景觀兩房,20800,29.38,12/29,2房1廳1衛,淡水區新市三路二段,有,,https://rent.yungching.com.tw/house/2377127
永慶,淡水區,海洋都心三期二房山景,20800,28.37,16/29,2房1廳1衛,淡水區新市五路三段,有,,https://rent.yungching.com.tw/house/2395626
永慶,淡水區,佳陞Park1,21000,37.52,11/15,2房2廳1衛,淡水區新市二路三段,有,有,https://rent.yungching.com.tw/house/2395752
永慶,淡水區,海洋都心二期,21000,37.11,20/24,2房1廳1衛,淡水區新市三路二段,有,有,https://rent.yungching.com.tw/house/2401678
永慶,淡水區,近老街3房公寓,22000,26.02,3/3,3房2廳1衛,淡水區淡水區新生街,,,https://rent.yungching.com.tw/house/2402843
永慶,淡水區,租-秀山莊美妝兩房,22000,23.84,3/6,2房2廳1衛,淡水區淡水區中正東路二段,有,,https://rent.yungching.com.tw/house/2388921
永慶,淡水區,海洋都心三期2改1,22000,36.58,19/29,1房1廳1衛,淡水區淡水區新市三路二段,,有,https://rent.yungching.com.tw/house/2402143
永慶,淡水區,正德國中旁藍海名廈4房,22000,30.12,3/19,4房2廳2衛,淡水區淡水區北新路,,,https://rent.yungching.com.tw/house/2391795
永慶,淡水區,可租補含管輕軌旁伊東市,22000,25.51,5/15,2房1廳1衛,淡水區淡水區淡金路二段,,,https://rent.yungching.com.tw/house/2401488
永慶,淡水區,大河文明邊間3房租補,22000,31.21,12/19,3房2廳2衛,淡水區淡水區沙崙路,有,,https://rent.yungching.com.tw/house/2379873
永慶,淡水區,海洋都心二期2房車,22000,36.16,7/24,2房1廳1衛,淡水區新市三路二段,有,有,https://rent.yungching.com.tw/house/2402958
永慶,淡水區,A655近淡水捷運站,22000,15.97,2/3,2房1廳1衛,淡水區中山路,,,https://rent.yungching.com.tw/house/2388445
永慶,淡水區,竹圍秀山莊美二房,22000,23.84,3/6,2房1廳1衛,淡水區中正東路二段,,,https://rent.yungching.com.tw/house/2380536
永慶,淡水區,公園居黃金5樓精裝,22000,27.71,5/13,1房1廳1衛,淡水區中山北路二段,,有,https://rent.yungching.com.tw/house/2403916
永慶,淡水區,新品苑優質兩房車,22000,29.56,5/21,2房2廳1衛,淡水區新市三路一段,有,有,https://rent.yungching.com.tw/house/2375274
永慶,淡水區,薇閣溫馨兩房,23000,22.57,4/15,2房1廳1衛,淡水區淡水區民生路,有,,https://rent.yungching.com.tw/house/2400269
永慶,淡水區,景闊二房+平車,23000,36.93,7/20,2房1廳1衛,淡水區淡水區新市五路二段,,有,https://rent.yungching.com.tw/house/2398950
永慶,淡水區,江南大宅叢林風二房,23000,25.96,13/23,2房1廳1衛,淡水區淡水區沙崙路一段,有,,https://rent.yungching.com.tw/house/2395558
永慶,淡水區,佳昂新家採光兩房+平車,23000,35.33,6/15,2房2廳2衛,淡水區淡水區濱海路二段,,有,https://rent.yungching.com.tw/house/2392488
永慶,淡水區,A886微笑莊園稀有一,23000,34.47,8/14,1房2廳1衛,淡水區濱海路一段,,有,https://rent.yungching.com.tw/house/2403257
永慶,淡水區,紅樹林明日晴高樓景觀兩房,23000,32.92,11/22,2房1廳2衛,淡水區中正東路二段,有,,https://rent.yungching.com.tw/house/2402116
永慶,淡水區,紅樹林明日晴舒適兩房雙衛,23000,32.92,2/22,2房1廳2衛,淡水區中正東路二段,有,,https://rent.yungching.com.tw/house/2402121
永慶,淡水區,山海青優質,23000,35.78,8/12,2房1廳1衛,淡水區新市二路四段,有,有,https://rent.yungching.com.tw/house/2401014
永慶,淡水區,台北灣銀河全配,23000,23.44,3/14,2房1廳1衛,淡水區新市一路一段,,,https://rent.yungching.com.tw/house/2404136
永慶,淡水區,A313 PARK99,23000,37.64,8/15,2房2廳2衛,淡水區義山路一段,,有,https://rent.yungching.com.tw/house/2405831
永慶,淡水區,冒泡勤家節奏二房車,23000,36.23,11/14,2房2廳1衛,淡水區崁頂三路,有,有,https://rent.yungching.com.tw/house/2405483
永慶,淡水區,公園上璟優質2房含車,23500,32.88,12/15,2房2廳1衛,淡水區濱海路二段,有,有,https://rent.yungching.com.tw/house/2403197
永慶,淡水區,幸福捷境舒適美兩房,23500,26.96,3/10,2房2廳1衛,淡水區八勢一街,,,https://rent.yungching.com.tw/house/2391992
永慶,淡水區,!可租補蒙德里安兩房車,24000,40.04,16/20,2房2廳2衛,淡水區淡水區沙崙路一段,,有,https://rent.yungching.com.tw/house/2405809
永慶,淡水區,江南社區有景觀三房車,24000,41.75,7/11,3房2廳2衛,淡水區淡水區濱海路三段,有,有,https://rent.yungching.com.tw/house/2388000
永慶,淡水區,關渡麗緻自強美居,24000,23.05,8/11,2房1廳1衛,淡水區淡水區自強路,有,,https://rent.yungching.com.tw/house/2401541
永慶,淡水區,海樂地無敵公設朝中庭,24000,40.34,12/23,3房2廳2衛,淡水區沙崙路二段,有,有,https://rent.yungching.com.tw/house/2402592
永慶,淡水區,江南頤和溫馨三房車,24000,41.67,4/13,3房2廳2衛,淡水區濱海路三段,,有,https://rent.yungching.com.tw/house/2397392
永慶,淡水區,海樂地高樓美二房平車,24000,35.06,21/22,2房2廳1衛,淡水區沙崙路二段,,有,https://rent.yungching.com.tw/house/2397219
永慶,淡水區,鴻灃青高坪效2房車,24000,36.85,3/15,2房2廳1衛,淡水區濱海路一段,,有,https://rent.yungching.com.tw/house/2396366
永慶,淡水區,鴻灃青舒適2房車,24000,36.92,3/15,2房2廳1衛,淡水區濱海路一段,,有,https://rent.yungching.com.tw/house/2396368
永慶,淡水區,詩畫城堡高樓景觀2房車,24000,25.53,8/11,2房1廳1衛,淡水區八勢路一段,,有,https://rent.yungching.com.tw/house/2402330
永慶,淡水區,捷運悅境大二房平,24000,38.02,3/12,2房2廳1衛,淡水區濱海路一段,,有,https://rent.yungching.com.tw/house/2391056
永慶,淡水區,灣頂溫馨兩房車,24000,33.74,7/15,2房2廳1衛,淡水區淡金路二段,,有,https://rent.yungching.com.tw/house/2395711
永慶,淡水區,觀海極品河景兩室,24500,26.81,12/23,2房2廳1衛,淡水區淡水區民族路,有,,https://rent.yungching.com.tw/house/2404107
永慶,淡水區,A581淡江大學學套六套,24500,24.67,4/5,6房--廳6衛,淡水區淡水區學府路,,,https://rent.yungching.com.tw/house/2388642
永慶,淡水區,海洋都心二期3房B2平車,24500,48.76,9/29,3房2廳2衛,淡水區淡水區新市三路二段,有,有,https://rent.yungching.com.tw/house/2405761
永慶,淡水區,新潤心苑三房車,24800,45.41,14/15,3房2廳2衛,淡水區濱海路二段,,有,https://rent.yungching.com.tw/house/2400828
永慶,淡水區,海洋都心二高樓景觀三房車,25000,45.00,25/29,3房2廳2衛,淡水區淡水區新市三路二段,,有,https://rent.yungching.com.tw/house/2404313
永慶,淡水區,心之界海景三房車,25000,48.14,8/13,3房2廳2衛,淡水區淡水區濱海路三段,有,有,https://rent.yungching.com.tw/house/2402866
永慶,淡水區,竹圍加油站民權公寓2+3,25000,24.68,2/2,5房4廳2衛,淡水區淡水區民權路,,,https://rent.yungching.com.tw/house/2376580
永慶,淡水區,海洋都心2期家電家俱全配,25000,32.69,4/29,2房1廳1衛,淡水區淡水區新市三路二段,,,https://rent.yungching.com.tw/house/2396955
永慶,淡水區,淡江華城3房車可租補,25000,47.12,7/14,3房2廳2衛,淡水區淡水區中正路一段,,有,https://rent.yungching.com.tw/house/2379346
永慶,淡水區,映月標準三房平車,25000,53.66,4/14,3房2廳2衛,淡水區淡水區濱海路二段,,有,https://rent.yungching.com.tw/house/2405251
永慶,淡水區,海樂地,25000,42.06,8/22,2房2廳2衛,淡水區淡水區沙崙路二段,有,有,https://rent.yungching.com.tw/house/2404347
永慶,淡水區,新春城堡花園三房+車位,25000,41.76,10/17,3房1廳2衛,淡水區淡水區新春街,有,有,https://rent.yungching.com.tw/house/2404478
永慶,淡水區,海揚看海看煙火兩房平車,25000,27.26,17/24,2房1廳1衛,淡水區淡水區中正東路一段,有,有,https://rent.yungching.com.tw/house/2367773
永慶,淡水區,謙樹雙陽台邊間三房車,25000,51.49,11/15,3房2廳2衛,淡水區淡水區新市三路一段,,有,https://rent.yungching.com.tw/house/2403911
永慶,淡水區,宏盛新世界三房,25000,46.83,21/23,3房2廳2衛,淡水區淡水區沙崙路一段,有,有,https://rent.yungching.com.tw/house/2403654
永慶,淡水區,摩納哥大露台精緻美宅,25000,36.84,1/22,2房1廳2衛,淡水區淡金路,有,有,https://rent.yungching.com.tw/house/2343520
永慶,淡水區,江南大宅朝北3房車社會住,25000,52.49,7/23,3房2廳2衛,淡水區沙崙路一段,,有,https://rent.yungching.com.tw/house/2393015
